
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
1.2005335335355013e-10, 3.0371643394506195e-09, 4.585369460390475e-11, 3.8012132668406444e-06, 8.235919203484091e-30, 3.4310418431092355e-05, 1.6429659077795724e-10, 7.053037721251899e-09, 4.4504617620907894e-08, 3.2663502354780735e-05, 2.3267066988486224e-14, 2.40106059900879e-07, 2.768622578749262e-16, 8.118806386504771e-16, 3.999166112054812e-21, 7.639441559638797e-18, 2.4010670925084784e-10, 4.1648148988426026e-05, 6.765000001000001e-05
1.5087957574804243e-10, 3.817019708880097e-09, 5.762760224153087e-11, 3.877276013147049e-06, 1.3551897706322426e-29, 3.423349080291485e-05, 2.0648331147166446e-10, 8.86406043111079e-09, 5.593222045004648e-08, 3.258736658318196e-05, 2.917329608733368e-14, 2.9149103735957086e-07, 3.5570806316764776e-16, 1.040766652631348e-15, 5.240888277919417e-21, 1.2066170003222576e-17, 3.017591555190877e-10, 3.313901108583747e-05, 6.765000001000001e-05
9.874192499441587e-12, 3.8826127219611446e-10, 5.8594351082958395e-12, 3.963323973181171e-06, 5.233028983054667e-27, 3.415125735639598e-05, 1.3819276245437457e-10, 1.1418904662361104e-08, 7.205336390228956e-08, 3.250152784331467e-05, 6.714595845381804e-14, 3.426689053464431e-07, 8.334251905098553e-16, 7.120164197640706e-16, 1.2551902102222997e-20, 1.0171210453181896e-18, 1.9748385177646654e-11, 0.0005063705163761478, 6.765000001000001e-05
1.2058287200600118e-11, 4.74139540915338e-10, 7.155460186517965e-12, 4.073546252828109e-06, 8.248930241117168e-27, 3.404094249328174e-05, 1.6875922712320105e-10, 1.3944605796048656e-08, 8.799055479342116e-08, 3.2391272783383835e-05, 8.171957410032494e-14, 4.184624496964568e-07, 1.0471491792213911e-15, 8.93681502262661e-16, 1.620928567237478e-20, 1.516838934770918e-18, 2.4116574667816218e-11, 0.0004146525838656967, 6.765000001000001e-05
2.741458278891676e-10, 6.93546191928129e-09, 1.0470837810622727e-10, 4.183731365019937e-06, 5.190034543332719e-29, 3.392357705848906e-05, 3.7517636693885566e-10, 1.6105838902909117e-08, 1.016277590891916e-07, 3.228061922298457e-05, 5.250824146169631e-14, 4.992673382277891e-07, 7.032631955760617e-16, 2.040532223277685e-15, 1.11806031341464e-20, 3.983530298584221e-17, 5.482916690314072e-10, 1.8238467890029493e-05, 6.765000001000001e-05
3.218153124228222e-10, 8.141424006365986e-09, 1.2291543274854683e-10, 4.308706833183145e-06, 7.619765390618046e-29, 3.3797264189731366e-05, 4.4041325665121955e-10, 1.8906376718888262e-08, 1.1929913679675305e-07, 3.215553082966187e-05, 6.139968526106252e-14, 5.860816216862098e-07, 8.52859921606147e-16, 2.466898386958777e-15, 1.3963952231085747e-20, 5.4893388127899486e-17, 6.436306431269909e-10, 1.5536861252311383e-05, 6.765000001000001e-05
3.7132637499980544e-10, 9.39397459145106e-09, 1.4182585886033995e-10, 4.4385103837014e-06, 1.0832015676281576e-28, 3.366607158534413e-05, 5.081703435092075e-10, 2.181510402053697e-08, 1.3765318914745975e-07, 3.202560999157966e-05, 7.055968794384823e-14, 6.762497446579596e-07, 1.0168831783350364e-15, 2.9321685590269227e-15, 1.7151104633039115e-20, 7.308095532937581e-17, 7.426527742744755e-10, 1.346524290543365e-05, 6.765000001000001e-05
4.221606248186792e-10, 1.067999916432781e-08, 1.6124165702811362e-10, 4.57178319254457e-06, 1.476530579674985e-28, 3.3531372614551825e-05, 5.777381575630515e-10, 2.480157047624941e-08, 1.5649781047390554e-07, 3.18922167608412e-05, 7.988498368801164e-14, 7.688277380613873e-07, 1.194524975833968e-15, 3.4336749192731494e-15, 2.0752205672730888e-20, 9.446255111655732e-17, 8.4432128099175e-10, 1.1843832703415788e-05, 6.765000001000001e-05
2.4951108735767847e-11, 9.810679234684846e-10, 1.4805695758509527e-11, 4.704902533141646e-06, 4.6727551219416967e-26, 3.3409039872558046e-05, 3.4918947026194517e-10, 2.8853425678644773e-08, 1.8206534234042202e-07, 3.175972300790251e-05, 1.6579374029859625e-13, 8.46591036728365e-07, 2.517789842208079e-15, 2.135772405041143e-15, 4.501460794693104e-20, 6.49404490824741e-18, 4.9902218615218415e-11, 0.00020039189193384586, 6.765000001000001e-05
2.771642373501466e-11, 1.089792705184107e-09, 1.644649181222281e-11, 4.842311117733455e-06, 6.177049058272994e-26, 3.3271514154204205e-05, 3.878877881923807e-10, 3.2051017500820375e-08, 2.0224219006749348e-07, 3.1622272923547765e-05, 1.8337044365383198e-13, 9.404119795486756e-07, 2.882464341034198e-15, 2.4417456302992152e-15, 5.3039725923424745e-20, 8.013457401734777e-18, 5.543284887858693e-11, 0.00018039844969726756, 6.765000001000001e-05
3.051085778662236e-11, 1.1996610243829418e-09, 1.8104542312079728e-11, 4.981164564239458e-06, 7.845361822785875e-26, 3.313254235742171e-05, 4.2699315339416174e-10, 3.528233078704341e-08, 2.226311536253659e-07, 3.148337754100997e-05, 2.0097043671095537e-13, 1.035219433396955e-06, 3.2686027882638187e-15, 2.764987132722627e-15, 6.186962619604993e-20, 9.710384078479555e-18, 6.102171727940022e-11, 0.0001638760829068934, 6.765000001000001e-05
3.3328015708602075e-11, 1.310421386685498e-09, 1.9776051756757438e-11, 5.121145147802838e-06, 9.978655194012605e-26, 3.299244247840392e-05, 4.664160528246775e-10, 3.853978362246643e-08, 2.4318564857477346e-07, 3.1343354681144394e-05, 2.1854900158358656e-13, 1.1307965079121473e-06, 3.675958463164089e-15, 3.105145153338059e-15, 7.15355939067061e-20, 1.158623692024696e-17, 6.665603345511155e-11, 0.00015002392854255784, 6.765000001000001e-05
6.646174378153678e-10, 1.6781065132177874e-08, 2.5350839630108616e-10, 5.242880424409763e-06, 2.4743102871650627e-29, 3.285350696701369e-05, 7.95772988040126e-10, 4.042918509403973e-08, 2.551082243590621e-07, 3.12206590612721e-05, 6.592808440242667e-14, 1.2270988637983648e-06, 1.1886503628281368e-15, 5.423780935023807e-15, 2.368145182288596e-20, 2.4241415400363256e-16, 1.3292349433766134e-09, 7.523124523492677e-06, 6.765000001000001e-05
3.8219206512637803e-11, 1.5117795519802398e-09, 2.281925161087003e-11, 5.379781376575987e-06, 1.4822181123294693e-25, 3.2733589940862843e-05, 5.226564683400645e-10, 4.511866089257224e-08, 2.8469838621006806e-07, 3.10846572712205e-05, 2.4244347676265313e-13, 1.2997760916335476e-06, 4.3310286454033224e-15, 3.655312072582041e-15, 8.853972639644894e-20, 1.555459298355422e-17, 7.643841564061878e-11, 0.00013082427096626107, 6.765000001000001e-05
7.68082718251754e-10, 1.9392256715487107e-08, 2.9289990653817475e-10, 5.47250321984615e-06, 2.609610096414056e-29, 3.262098819000569e-05, 8.941330849092399e-10, 4.6821684478032996e-08, 2.9544477638054397e-07, 3.0990834444627904e-05, 6.289599262778309e-14, 1.36966023930886e-06, 1.2087389420093358e-15, 6.361093710964893e-15, 2.513632433684055e-20, 3.244579539865308e-16, 1.536165524078523e-09, 6.509715159763498e-06, 6.765000001000001e-05
9.369188394689774e-12, 2.841308720051523e-10, 4.2893943452705785e-12, 5.581012816015437e-06, 7.510570307902831e-28, 3.253368183837706e-05, 2.6844929021746085e-10, 5.19178435423509e-08, 3.276015838595723e-07, 3.088370912155177e-05, 1.2882210396720366e-13, 1.4086264990289635e-06, 2.4147035553450487e-15, 1.9476712799583435e-15, 5.121079171061047e-20, 4.385369445752988e-18, 1.873837711851292e-11, 0.0005336641448058123, 6.765000001000001e-05
9.971954520497325e-12, 3.024075934313583e-10, 4.565491617365832e-12, 5.688123568634321e-06, 8.851047972242094e-28, 3.242655154169177e-05, 2.8571263047448297e-10, 5.525992987789254e-08, 3.4868973632390405e-07, 3.077658048667145e-05, 1.3663058296879566e-13, 1.470201701245202e-06, 2.6225520594200243e-15, 2.1127173064900492e-15, 5.668619940360359e-20, 4.968032345514762e-18, 1.9943909413861753e-11, 0.0005014062084061429, 6.765000001000001e-05
9.26535118735734e-10, 2.339278998729332e-08, 3.5330813621942946e-10, 5.793194265941797e-06, 4.200491397535581e-29, 3.229586035350688e-05, 1.0781156164919474e-09, 5.648257766267506e-08, 3.5640459638994833e-07, 3.0669800935825957e-05, 7.485156428242485e-14, 1.5587437435853103e-06, 1.5551665640527059e-15, 8.119404626027422e-15, 3.423564173373626e-20, 4.721510031739164e-16, 1.8530703649473309e-09, 5.396449152260997e-06, 6.765000001000001e-05
9.796211860653406e-10, 2.4733081866568965e-08, 3.735509559112084e-10, 5.89399835246388e-06, 4.8558471620798335e-29, 3.2193569828742793e-05, 1.1398862196310024e-09, 5.971874717408814e-08, 3.768247836913033e-07, 3.056888198322472e-05, 7.887968665231399e-14, 1.6154620851688976e-06, 1.6782706765586657e-15, 8.734090590547431e-15, 3.758860931425951e-20, 5.278027016717536e-16, 1.9592425139406824e-09, 5.104013377030444e-06, 6.765000001000001e-05
5.106746166881772e-11, 2.0530995985882543e-09, 3.1008622084534056e-11, 6.0215315529561545e-06, 3.665250928405288e-25, 3.20912593476219e-05, 6.517432434614325e-10, 6.514730405331602e-08, 4.1107968115402347e-07, 3.044276505126535e-05, 2.9440924552128765e-13, 1.6686157628468366e-06, 6.05092718898397e-15, 5.101875412310201e-15, 1.3845596164189904e-19, 3.00085356807797e-17, 1.0213492769275857e-10, 9.790969872796028e-05, 6.765000001000001e-05
1.2399083556484167e-11, 3.7598641607825404e-10, 5.676212967536662e-12, 6.120486811810623e-06, 1.5878585178866167e-27, 3.199410975628118e-05, 3.552232541852496e-10, 6.870389211192804e-08, 4.3352098285055904e-07, 3.03441452417049e-05, 1.6748402836593055e-13, 1.7193892608743415e-06, 3.525972033790906e-15, 2.8263853226562033e-15, 8.200672400136071e-20, 7.679555897464257e-18, 2.4798167690110073e-11, 0.0004032556003719649, 6.765000001000001e-05
