
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
7.464794573156939e-19, 2.3537934433695575e-10, 8.365979064679152e-22, 3.299968310530968e-05, 4.43404344299749e-24, 7.978833791142082e-11, 1.746754141464793e-08, 3.232224152487845e-05, 6.592068559622352e-09, 3.29828283385928e-05, 9.275479523989637e-12, 6.46780623901895e-07, 9.847632614588779e-13, 7.493565479747862e-13, 1.234884804226255e-16, 2.639995456031582e-15, 9.994853973968772e-08, 1.0005148675553071e-07, 3.3000000010000006e-05
2.9862494032714555e-18, 4.707581263309691e-10, 3.346365808145587e-21, 6.599936621696474e-05, 3.547606332476341e-23, 1.59560114525486e-10, 1.7469041678668032e-08, 3.232199026411046e-05, 6.592003565804739e-09, 3.298314124016907e-05, 9.276423999713146e-12, 6.467136228364843e-07, 1.9696931833129475e-12, 1.4988279554421469e-12, 4.939843572103269e-16, 5.279901757457093e-15, 9.995807446833016e-08, 1.0004194311654445e-07, 6.600000001000001e-05
6.720296399617857e-18, 7.062095287505941e-10, 7.53082325541661e-21, 9.899904924563237e-05, 1.1975486404652027e-22, 2.393414009902619e-10, 1.7470623891983673e-08, 3.232173900786161e-05, 6.591815414434478e-09, 3.298345414207744e-05, 9.277213013799723e-12, 6.466466990337242e-07, 2.954820116132228e-12, 2.248461556644969e-12, 1.1115749034820978e-15, 7.920589094846276e-15, 9.996761356784038e-08, 1.0003239692436756e-07, 9.900000001000001e-05
1.1948459908059069e-17, 9.416114268027277e-10, 1.3388268585360909e-20, 0.0001319987323547896, 2.8389441715733167e-22, 3.190910575072715e-10, 1.7472122504388584e-08, 3.23214876674808e-05, 6.591727273572028e-09, 3.29837670459349e-05, 9.278227662935572e-12, 6.465798234555439e-07, 3.940028259209983e-12, 2.9981623661512964e-12, 1.9762825487763996e-15, 1.0560714526072606e-14, 9.99772522402393e-08, 1.0002275293554381e-07, 0.00013200000001
1.8674386983476185e-17, 1.1772155799405358e-09, 2.0926132279182295e-20, 0.00016499841521070555, 5.546288926892083e-22, 3.988907064801704e-10, 1.747383810251011e-08, 3.2321235262905577e-05, 6.591758132574672e-09, 3.298407998500449e-05, 9.279138679048978e-12, 6.465133041949753e-07, 4.9254698129589765e-12, 3.748123855804437e-12, 3.0882796558296938e-15, 1.3203033161875395e-14, 9.998707959773448e-08, 1.0001292207184919e-07, 0.00016500000001
2.6893209878949497e-17, 1.4126509076209477e-09, 3.0133346838289955e-20, 0.00019799809829727127, 9.584645954489045e-22, 4.786278713274271e-10, 1.7475317464490757e-08, 3.2320984503472434e-05, 6.591547064543165e-09, 3.298439292905693e-05, 9.280018859654318e-12, 6.464460908133648e-07, 5.911071515434599e-12, 4.4980901821650296e-12, 4.447436609679295e-15, 1.5843419123643532e-14, 9.99963862034061e-08, 1.0000361392719388e-07, 0.00019800000001000002
3.660829375678978e-17, 1.64808930500074e-09, 4.101467052075823e-20, 0.00023099778140427655, 1.5221502805345341e-21, 5.583407239431935e-10, 1.7476696822774354e-08, 3.232073409163205e-05, 6.591315376214664e-09, 3.2984705951428135e-05, 9.281049222709107e-12, 6.463786916215285e-07, 6.8968349487349034e-12, 5.248199988824242e-12, 6.053957037563483e-15, 1.848380181096609e-14, 1.0000558198606196e-07, 9.999441832550633e-08, 0.00023100000001
4.7810824846127467e-17, 1.8831946298109186e-09, 5.355103915741512e-20, 0.000263997464971849, 2.271946583817164e-21, 6.379252489477398e-10, 1.747831537300581e-08, 3.232048224989407e-05, 6.591323367146129e-09, 3.2985018273098824e-05, 9.282051524428355e-12, 6.463124646252068e-07, 7.882775024212708e-12, 5.998471973743796e-12, 7.907835298282561e-15, 2.112027869937024e-14, 1.0001558188507533e-07, 9.998442054249783e-08, 0.00026400000001
6.0522851939148e-17, 2.118818587536602e-09, 6.77892597989213e-20, 0.00029699714784895044, 3.235511861455706e-21, 7.176808507448538e-10, 1.7479839589049016e-08, 3.232023160940833e-05, 6.591109316341019e-09, 3.2985331377618085e-05, 9.28358714465829e-12, 6.462448840311817e-07, 8.868838007378484e-12, 6.748880143773199e-12, 1.0009266664378281e-14, 2.3762720012853943e-14, 1.0002449255588662e-07, 9.997551344149741e-08, 0.00029700000001
7.472619558917994e-17, 2.3542013630543126e-09, 8.368845502228604e-20, 0.0003299968310780663, 4.438691036135252e-21, 7.973248032915126e-10, 1.7481381838376127e-08, 3.231997944932547e-05, 6.59099461967178e-09, 3.298564411261539e-05, 9.284378399937558e-12, 6.461789593042422e-07, 9.855076713241722e-12, 7.499433075698714e-12, 1.2358284271750153e-14, 2.6402453709940638e-14, 1.0003492958604619e-07, 9.996508261045343e-08, 0.00033000000001
