
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
7.047754797098774e-15, 2.29493611597763e-05, 3.465353535126221e-07, 3.2999998226518267e-06, 4.589576579970287e-21, 7.712675786161241e-06, 3.8640206777869953e-16, 2.41563601759631e-07, 1.5242663271034554e-06, 2.892350684254346e-13, 3.458187525912885e-30, 4.792395607131506e-09, 6.78807176335362e-16, 5.774574959555711e-29, 1.1797664145299487e-25, 1.9236744277820222e-12, 1.0081123265559975e-07, 9.919529537113076e-08, 3.795e-05
7.27578090495485e-15, 2.2797922985737165e-05, 3.44248637084631e-07, 3.4571317803691145e-06, 4.981534242307763e-21, 7.711761476189429e-06, 4.1593830397399017e-16, 2.5306615750163844e-07, 1.5968474538355251e-06, 3.1541571166056787e-13, 4.392884928640638e-30, 5.0533463580735626e-09, 7.294669310077045e-16, 7.112486255164447e-29, 1.3963805179140534e-25, 2.001975820695981e-12, 1.0015787312626378e-07, 9.984237572011463e-08, 3.81071319842059e-05
7.50511845036456e-15, 2.263927457019221e-05, 3.4185304600990255e-07, 3.621745693131888e-06, 5.403753306646552e-21, 7.710799834021093e-06, 4.47794570730477e-16, 2.6511637922706775e-07, 1.6728843529229865e-06, 3.442581667454604e-13, 5.5822801332088615e-30, 5.33040453891158e-09, 7.839393382272314e-16, 8.769876866095033e-29, 1.6531847220704895e-25, 2.0827087481586412e-12, 9.947328882335484e-08, 1.0052950011292027e-07, 3.8271745926127086e-05
7.735040191671813e-15, 2.2473072790307188e-05, 3.3934339913363836e-07, 3.7941978196899116e-06, 5.8580664510881315e-21, 7.709788151354057e-06, 4.821438101547653e-16, 2.7774033026870466e-07, 1.7525414839957194e-06, 3.7606275384405006e-13, 7.09649321038076e-30, 5.62478102763247e-09, 8.424837525672524e-16, 1.0825134774191376e-28, 1.9576718477580607e-25, 2.16586249447004e-12, 9.875598232211866e-08, 1.012596884245692e-07, 3.844419808481253e-05
7.96472838598373e-15, 2.229895822678253e-05, 3.367142692244162e-07, 3.974861382297219e-06, 6.346332565412306e-21, 7.708723531158334e-06, 5.191691461032788e-16, 2.9096531191019275e-07, 1.8359911181535104e-06, 4.111675055601392e-13, 9.025201978508743e-30, 5.937803177505141e-09, 9.05370573856674e-16, 1.3376367452673668e-28, 2.318728613701815e-25, 2.251413497303726e-12, 9.800438394664751e-08, 1.0203625182159084e-07, 3.8624861682853984e-05
8.193268182545939e-15, 2.211655439572113e-05, 3.3395997137538923e-07, 4.164127374438364e-06, 6.870419502692185e-21, 7.707602869848878e-06, 5.590639073861484e-16, 3.0481992174584086e-07, 1.9234137062164517e-06, 4.4995350624258963e-13, 1.1483188097203792e-29, 6.270929128151058e-09, 9.728803082008535e-16, 1.6546480829281966e-28, 2.746892012941633e-25, 2.3393235337171154e-12, 9.721684825192252e-08, 1.0286282861265505e-07, 3.881412771411787e-05
8.419640943441064e-15, 2.192546694537473e-05, 3.310745508751584e-07, 4.362405407019678e-06, 7.432182797708026e-21, 7.706422837109724e-06, 6.020315036718602e-16, 3.1933411470873087e-07, 2.014998263812289e-06, 4.928510957252232e-13, 1.4617489355931668e-29, 6.625764290751893e-09, 1.04530224347102e-15, 2.048959936622264e-28, 3.2546516831413653e-25, 2.42953770284652e-12, 9.639165033360947e-08, 1.0374342554972564e-07, 3.90124057899379e-05
8.64271757935831e-15, 2.1725282816397332e-05, 3.2805177052759956e-07, 4.570124594838176e-06, 8.033439731063515e-21, 7.705179852968125e-06, 6.482851160535416e-16, 3.3453926687211334e-07, 2.1109427739632328e-06, 5.403470989062739e-13, 1.861663591302958e-29, 7.004080403215579e-09, 1.1229326595101093e-15, 2.539918780454498e-28, 3.8568061348517804e-25, 2.521982184294463e-12, 9.552698195757e-08, 1.0468246557231e-07, 3.9220125025599784e-05
8.86125201081548e-15, 2.1515569364245316e-05, 3.2488509740010395e-07, 4.78773448527835e-06, 8.675938048568057e-21, 7.703870061630609e-06, 6.980471567453966e-16, 3.5046824212921526e-07, 2.2114546078355494e-06, 5.929932773649817e-13, 2.3722595212914224e-29, 7.407837635639073e-09, 1.2060724799061317e-15, 3.151833826315158e-28, 4.570881924024059e-25, 2.6165617491417958e-12, 9.462094750092538e-08, 1.0568484319925249e-07, 3.94377349690366e-05
9.073874891617863e-15, 2.1295873442321642e-05, 3.215676889790566e-07, 5.015706031208173e-06, 9.361318572621786e-21, 7.702489301484587e-06, 7.515484435281126e-16, 3.6715546185539085e-07, 2.3167509643077177e-06, 6.514162426068148e-13, 3.0246244432622284e-29, 7.839210331793679e-09, 1.2950242568382807e-15, 3.915281807562918e-28, 5.417626221262079e-25, 2.713156998236467e-12, 9.367155969612643e-08, 1.0675598903701746e-07, 3.9665706573744684e-05
