
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
4.537986403144317e-22, 7.068774263266468e-09, 1.0673849144876289e-10, 1.0255740906682153e-05, 2.285954907387948e-22, 2.4387726755934017e-05, 2.65414978118739e-12, 7.375785815703674e-07, 4.654120847579646e-06, 3.110388823264104e-06, 1.3290769426185451e-16, 2.0916821803370858e-07, 1.5124170358534556e-16, 7.974608428457096e-18, 4.482859456655982e-21, 1.807273011970231e-15, 9.809666296270571e-12, 0.0010194026685496722, 3.795e-05
4.525224313324457e-22, 7.0679996986398685e-09, 1.0672679553441686e-10, 1.0255760507278084e-05, 2.400891147219205e-22, 2.4387713863725384e-05, 2.788225721046608e-12, 7.37579570362924e-07, 4.654127089458864e-06, 3.2675010727617686e-06, 1.46674162200061e-16, 2.0916830155046584e-07, 1.5843185148603668e-16, 8.798650552258734e-18, 4.7243987961740035e-21, 1.8070771571051024e-15, 9.808586732889694e-12, 0.0010195148671590442, 3.81071319842059e-05
4.511967421780042e-22, 7.067265520207807e-09, 1.0671570941594648e-10, 1.02557808796238e-05, 2.521384648162111e-22, 2.438770038563085e-05, 2.928685939119389e-12, 7.375805998289887e-07, 4.654133586734154e-06, 3.43209450183741e-06, 1.618236223061542e-16, 2.091683714956365e-07, 1.6592619139529702e-16, 9.70316151289515e-18, 4.977706199086082e-21, 1.8068917270978093e-15, 9.807573444515093e-12, 0.0010196202003047473, 3.8271745926127086e-05
4.49839689744375e-22, 7.066569498346038e-09, 1.0670519949183681e-10, 1.0255802085474923e-05, 2.647597766641683e-22, 2.4387686268624934e-05, 3.0758366787564982e-12, 7.37581672657486e-07, 4.654140353161012e-06, 3.604525307477863e-06, 1.7849298702794728e-16, 2.091684526851938e-07, 1.7373486256516378e-16, 1.0695605180296812e-17, 5.2431365748009444e-21, 1.806716181641806e-15, 9.806600147223294e-12, 0.0010197213968014662, 3.844419808481253e-05
4.483904305149782e-22, 7.065909642772134e-09, 1.0669523554435983e-10, 1.0255824158535208e-05, 2.779706529946264e-22, 2.4387671485629238e-05, 3.229993907666807e-12, 7.375827897864028e-07, 4.654147402419876e-06, 3.7851666782548305e-06, 1.9683233443511193e-16, 2.0916854563326473e-07, 1.8185567666751326e-16, 1.178324384926885e-17, 5.521071231982164e-21, 1.8065500051722487e-15, 9.805693196686384e-12, 0.0010198157131185053, 3.8624861682853984e-05
4.469205079277412e-22, 7.06528274845374e-09, 1.0668576952302075e-10, 1.0255847127106917e-05, 2.9182055693395006e-22, 2.4387656018961002e-05, 3.3914929650237464e-12, 7.375839535004295e-07, 4.654154750760657e-06, 3.974409579396745e-06, 2.1700672627893312e-16, 2.0916863620370085e-07, 1.9032116554200938e-16, 1.2976277463173522e-17, 5.812525445535553e-21, 1.8063923705296192e-15, 9.804811248164363e-12, 0.0010199074461399937, 3.881412771411787e-05
4.453561405771633e-22, 7.064689679128361e-09, 1.0667681420295578e-10, 1.0255871027824946e-05, 3.0631078912774294e-22, 2.4387639836488844e-05, 3.5606845155590624e-12, 7.375851679432054e-07, 4.654162410951192e-06, 4.172663585251403e-06, 2.39197391860194e-16, 2.0916872560842466e-07, 1.9911732869588348e-16, 1.4282570547548497e-17, 6.117558952988539e-21, 1.806243525421236e-15, 9.803997621557085e-12, 0.0010199920875145812, 3.90124057899379e-05
4.437695707379487e-22, 7.0641274351484615e-09, 1.0666832428080415e-10, 1.0255895916975659e-05, 3.2150757764590776e-22, 2.4387622890431853e-05, 3.737933298332103e-12, 7.37586434758152e-07, 4.654170399663538e-06, 4.38035775445295e-06, 2.6360316227752466e-16, 2.0916882936609635e-07, 2.082800783965617e-16, 1.5714234192400094e-17, 6.437527015330184e-21, 1.806102708570779e-15, 9.803210971957963e-12, 0.0010200739358364266, 3.9220125025599784e-05
4.421234526748124e-22, 7.063593126343697e-09, 1.0666025629479434e-10, 1.0255921829449197e-05, 3.3742836300983837e-22, 2.4387605153608223e-05, 3.9236231291035586e-12, 7.37587754507093e-07, 4.654178734364877e-06, 4.5979415996600575e-06, 2.9044247855921916e-16, 2.0916894175538569e-07, 2.1781446631248769e-16, 1.7282188607736375e-17, 6.7728144235272674e-21, 1.8059691626280083e-15, 9.802469117805846e-12, 0.001020151135374183, 3.94377349690366e-05
4.404027682818709e-22, 7.0630866936479995e-09, 1.0665260904184954e-10, 1.02559488022492e-05, 3.5410675901034606e-22, 2.4387586594412938e-05, 4.118155901963482e-12, 7.375891337776758e-07, 4.654187429314371e-06, 4.825886036962996e-06, 3.199551826976158e-16, 2.0916905893463673e-07, 2.277261974759774e-16, 1.8998240387991114e-17, 7.124129818504653e-21, 1.8058428909940437e-15, 9.80176747076464e-12, 0.00102022416159398, 3.9665706573744684e-05
